,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden
,CO_PPM,CO_PPM,CO_PPM,CO_TShl,CO_TShl,CO_TShl,PM10_BP,PM10_BP,PM10_BP,PM10_RH,PM10_RH,PM10_RH,PM10_Tamb,PM10_Tamb,PM10_Tamb,PM10_TShl,PM10_TShl,PM10_TShl,PM10L,PM10L,PM10L,PM10L_Qt,PM10L_Qt,PM10L_Qt,PM10S,PM10S,PM10S,PM10S_Qt,PM10S_Qt,PM10S_Qt,PM25_BP,PM25_BP,PM25_BP,PM25_Qt,PM25_Qt,PM25_Qt,PM25_RH,PM25_RH,PM25_RH,PM25_Tamb,PM25_Tamb,PM25_Tamb,PM25_TShl,PM25_TShl,PM25_TShl,PM25L,PM25L,PM25L,PMc,PMc,PMc,WD_S_15m,WD_S_15m,WD_S_15m,WD_V_15m,WD_V_15m,WD_V_15m,WS_S_15m,WS_S_15m,WS_S_15m,WS_V_15m,WS_V_15m,WS_V_15m
,PPM,PPM,PPM,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,% RH,% RH,% RH,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,ug/m3 L,ug/m3 L,ug/m3 L,L/M,L/M,L/M,ug/m3 S,ug/m3 S,ug/m3 S,L/M,L/M,L/M,MM/HG,MM/HG,MM/HG,L/M,L/M,L/M,% RH,% RH,% RH,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,DEG,DEG,DEG,DEG,DEG,DEG,M/SEC,M/SEC,M/SEC,M/SEC,M/SEC,M/SEC
Date,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes
16-Apr-2024 00:00,,IE,,23.6,,,767,,,15,,,3.2,,,27.3,,,11,,,0.701,,,10,,,0.764,,,767,,,0.701,,,11,,,3.2,,,32.1,,,9,,,2,,,,,,,,,,,,,,
16-Apr-2024 01:00,0.337,,,23.4,,,767,,,15,,,0.5,,,27.4,,,28,,,0.701,,,25,,,0.772,,,767,,,0.701,,,12,,,0.5,,,32.1,,,6,,,22,,,,,,,,,,,,,,
16-Apr-2024 02:00,0.329,,,23.2,,,767,,,15,,,-0.7,,,27.4,,,20,,,0.701,,,18,,,0.775,,,767,,,0.701,,,12,,,-0.7,,,32.1,,,4,,,16,,,,,,,,,,,,,,
16-Apr-2024 03:00,0.346,,,23,,,767,,,15,,,-1,,,27.3,,,14,,,0.701,,,12,,,0.777,,,768,,,0.701,,,12,,,-1,,,32.1,,,2,,,11,,,,,,,,,,,,,,
16-Apr-2024 04:00,0.344,,,22.9,,,767,,,15,,,-1.9,,,27.3,,,13,,,0.702,,,11,,,0.779,,,768,,,0.701,,,12,,,-2,,,32,,,1,,,12,,,,,,,,,,,,,,
16-Apr-2024 05:00,0.506,,,22.7,,,767,,,15,,,-2.1,,,27.3,,,41,,,0.701,,,36,,,0.781,,,768,,,0.701,,,12,,,-2.2,,,32,,,4,,,37,,,,,,,,,,,,,,
16-Apr-2024 06:00,0.982,,,22.6,,,767,,,15,,,-1.6,,,27.3,,,87,,,0.702,,,78,,,0.78,,,768,,,0.701,,,12,,,-1.7,,,32,,,7,,,80,,,,,,,,,,,,,,
