,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore
,AmbT_10m,AmbT_10m,CO,CO,NO,NO,NOy,NOy,O3,O3,PM10L,PM10L,PM25L,PM25L,RH,RH
,DEGC,DEGC,PPM,PPM,PPB,PPB,PPB,PPB,PPB,PPB,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,% RH,% RH
Date,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags
11-Apr-2024 00:00,-2,,0.367,,0.7,E,9.2,,,IE,115,,92.8,,74.8,
11-Apr-2024 01:00,-2.9,,0.215,,1.8,,15.2,,6.8,,30,,4.3,,79.2,
11-Apr-2024 02:00,-2.7,,,IE,1.6,,15.8,,7.3,,24,,2.9,,78.5,
11-Apr-2024 03:00,-2.7,,0.185,,,IE,,IE,16.4,,6,,7.3,,75.1,
11-Apr-2024 04:00,-3.6,,0.184,,0.9,,10.7,,10.7,,15,,5.4,,78.2,
11-Apr-2024 05:00,-3,,0.245,,3,,18.3,,6.4,,34,,4.3,,79.3,
11-Apr-2024 06:00,-2.5,,0.413,,18.5,,41.4,,2.9,,81,,5.5,,77.4,
11-Apr-2024 07:00,-1.2,,0.266,,6.9,E,16.4,E,19.9,,41,,5,,66.1,
11-Apr-2024 08:00,0.1,,0.154,,0.7,E,5.1,,28.5,,29,,2.2,,58.4,
11-Apr-2024 09:00,1.3,,0.154,,0.9,,4.7,,31,,39,,2.5,,54.2,
11-Apr-2024 10:00,2.6,,0.178,,1,,4.2,E,33,,32,,2.1,,51.3,
11-Apr-2024 11:00,4.3,,0.204,,1.5,,8.3,,32.6,,51,,-0.3,,49,
11-Apr-2024 12:00,5.2,,0.209,,1.3,,8.1,,34.9,,47,,3.3,,46.2,
11-Apr-2024 13:00,6.1,,0.187,,1.3,,6.4,E,39.9,,26,,3.3,,40.6,
11-Apr-2024 14:00,6.3,,0.161,,0.2,,0,,45.8,,40,,0.3,,39.3,
11-Apr-2024 15:00,5.7,,0.167,,0,,-0.5,,46.3,,22,,0.6,,40.1,
11-Apr-2024 16:00,5.6,,0.176,,0.1,,0.1,,44.8,,16,,0.4,,43,
11-Apr-2024 17:00,5.2,,0.167,,0,,0.1,E,45.1,,12,,-0.9,,44.9,
11-Apr-2024 18:00,4.4,,0.192,,0,,1.4,E,43.6,,16,,-0.8,,45.5,
11-Apr-2024 19:00,4.1,,0.262,,0.3,,8,,35.7,,61,,2.2,,47.6,
11-Apr-2024 20:00,3.4,,0.31,,0.2,,12.8,,27.4,,59,,7.7,,53,
11-Apr-2024 21:00,2.9,,0.367,,0.6,,14.8,,25.5,,46,,6.9,,53.5,
11-Apr-2024 22:00,2.5,,0.258,,,IE,,IE,34,,8,,3.1,,50.9,
11-Apr-2024 23:00,2.6,,0.202,,,IE,,IE,37.7,,6,,1.3,,47,
12-Apr-2024 00:00,2.1,,0.159,,0,,-0.6,E,41.9,,8,,0.7,,53.6,
12-Apr-2024 01:00,1.5,,0.162,,0,,1.2,E,39.7,,7,,-1.3,,57.9,
12-Apr-2024 02:00,1.1,,0.163,,0,E,3.2,,36.8,,8,,0.6,,60.1,
12-Apr-2024 03:00,0.8,,0.164,,0,,4.3,,35.8,,11,,0.1,,60.2,
12-Apr-2024 04:00,0.4,,0.19,,0.4,,10.1,,28.5,,16,,-2,,63.7,
12-Apr-2024 05:00,-0.1,,0.245,,0.4,,10.1,,29.6,,12,,0.1,,73.4,
12-Apr-2024 06:00,-0.6,,0.241,,0.5,,6,,37.5,,6,,0.3,,93.5,
12-Apr-2024 07:00,-0.5,,0.303,,1.6,,12,,31.5,,3,,-1,,94.5,
12-Apr-2024 08:00,0,,0.261,,1.4,,7.7,,34.8,,4,,5.6,,90.3,
12-Apr-2024 09:00,0.9,,0.265,,1.3,,5.8,,37.6,,3,,5.4,,83.7,
12-Apr-2024 10:00,2.5,,0.231,,1.3,,3.7,,41.8,,6,,1.8,,67.6,
12-Apr-2024 11:00,3.2,,0.229,,0.8,,2.3,,43,,7,,1.5,,59.1,
12-Apr-2024 12:00,3.8,,0.213,,0.3,,0.2,,42.5,,12,,1.7,,50.8,
